https://api-na-adrv2.padsv.gungho.jp/api.php?action=clear_dungeon;pid;sid;hash;tmd;nxc;;dung;floor;v;c;r;m;key;e_key;e_chksum;ss;;;s;e1;e2;e3;e4;e5;e6;e7;e8;e9;e10;e11;e12;e13;e14;e15;e16;e17;e18;e19;sm;cm
112;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;a688534b;b435886a;10;1;2;215;1300;0;7B5EDC99;C4;8C;207f6f5e;10:41:34;0:00:05;349706;aae586b9;97cc374a;f778db8f;2abc46ce;11254334;7ea6269d;ecf69ecc;9455b494;3cf22a98;1625b48c;a23a3d3c;bd82fb31;e4e42774;94244522;cd9b60ac;d0dc5f9;fcf340d7;ce43f71a;dc8d31b2;da44a048;0
113;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;2afe90dd;dd09efa2;10;1;2;215;1300;0;D03AC2AA;2E;7F;207f6f63;10:41:39;0:00:05;349706;f3c453ea;1a41dd6a;919eff3d;32c65673;6108e8ca;44de0f9d;afd84bc5;6ddf91da;2ec8c7f9;d7fdaa30;2099fe7a;8b53f426;50051fe4;43b2807e;7866e8c0;d72d7de0;8d27f22d;61c46e5;bee16ef;da44a045;0
114;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;2a2c6832;2386c2a2;10;1;2;215;1300;0;B3FCD1FF;44;A3;207f6f68;10:41:44;0:00:05;349706;3ca420d7;9cb68395;2bc52272;3ad12724;b0ea9458;b16f89d;72bbf8ba;47696f21;209f655a;99d4805b;9ef9bfb8;5924f524;bb251854;f340bbdb;233170d5;a14c35c6;1d5ba383;3efed6ac;3b4ffc2c;da44a042;0
115;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;a229d469;964d922a;10;1;2;215;1300;0;3DDAC4FF;A5;B2;207f6f6e;10:41:50;0:00:06;349706;c74ab0e6;9fa817b2;b18d1944;de1140eb;10c632f2;2c26a9ee;c2fd2eb0;4c76abdc;7606ef01;8273469e;369f7469;1cebc2af;d54bdc1f;2c50cfe3;bcf14754;60a578db;9733deb7;b43f3b34;da90dc0f;da44a05f;0
116;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;5e89e02a;a20e98e5;10;1;2;215;1300;0;0EC7AD88;BA;19;207f6f73;10:41:55;0:00:05;349706;10297dd3;221dbdd2;4bb33cfa;e61b519d;60a9de80;f25e92ee;85e0dba9;26008923;67dd8c61;444bbc01;b4fe35a7;eabdc3ae;406bd48f;dbde0b40;67bccf68;2ac530c1;2768900e;ec188aff;9f0c14c;da44a054;0
117;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;7ae7db17;71bd7ea7;10;1;2;215;1300;0;E278B5DD;6B;81;207f6f78;10:42:00;0:00:05;349706;59094b3c;a49263fd;e5d96028;ee262146;b08b8a16;b8967bee;48c2889e;ff8a6669;59b329c2;62393a5;335ef6e5;b88ebcad;ab8bccff;8b6c469d;1287577c;f4e4e8a8;b79c4164;24f91ab9;3951a689;da44a051;0
118;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;b8d47a7e;e7a74d8b;10;1;2;215;1300;0;808DD6BB;A7;DB;207f6f7d;10:42:05;0:00:05;349706;a1e8186e;27060a1d;8000835e;f63132e8;6d37a4;7ece64ee;ba43597;d91443b0;4b89c723;c7fb89c9;b1beb823;865fbd88;16acc56f;3af981f9;bd52df90;bf04a08e;47d0f2ba;5cdaea00;68b28bc6;da44a06e;0
119;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;c01ca44c;c44ac10c;10;1;2;215;1300;0;511ABE11;22;2E;207f6f82;10:42:10;0:00:05;349706;eac8e55b;a97bb03c;1a26a693;fe3b039d;504fe33b;45064dee;ce86e28f;b29f20f6;3d5f6483;89d3ef6c;301d7961;5430be83;81ccbddf;ea87bd56;681d67a5;89235874;d804a410;94b479cb;98137102;da44a06b;0
120;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;901dad36;63dad109;10;1;2;215;1300;0;26AFE4BB;C3;FC;207f6f87;10:42:15;0:00:05;349706;33a7b284;2bf0565c;b44dc9c1;6461346;a03288c9;b3e36ee;91698f84;8c29fe3d;2f3601e4;4babc290;ae7d3a9f;2201bfb2;ececb64c;9a15f8b2;12e8efb9;5343105b;68385566;cc95c992;c774563f;da44a060;0
121;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;b2e125a6;6a521e2b;10;1;2;215;1300;0;FD149ACC;10;BD;207f6f8c;10:42:20;0:00:05;349706;7c877ff1;ae64fc7c;4e73ed77;e501ce8;f014345f;d1761fee;544b3c7d;65b3db83;210c9f45;d83383b;2cdcfbdc;efd2b8a9;580caebc;49a3340f;bdb377cd;1d62c841;f86c06bc;376595d;f6d53b7c;da44a07d;0
122;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;45a0ba33;33ab0a54;10;1;2;215;1300;0;E2D07C44;D9;AD;207f6f91;10:42:25;0:00:05;349706;c5664d22;30d9a29f;e89910a4;165bed9d;3ff6e1ed;97ae08ee;172de972;3f3eb8ca;12e23ca5;cf5a1e5f;ab3cbd1a;bda3b9a4;c32ca72c;f9306f6c;687effe2;e7828028;88a1b812;3b572927;263520b9;da44a07a;0
123;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;e01672d0;0d27610e;10;1;2;215;1300;0;CB89BCDD;F6;3B;207f6f96;10:42:30;0:00:05;349706;e461a0f;b34e48bf;82c033da;1e66fd46;8fd98d63;5de6f1ee;da0f966b;18c89610;4b9da06;913275c2;299c7e58;8b74bab7;2e4c9f9c;a8beaac8;134987f6;b1a2380e;18d56968;7330b8ee;559605f6;da44a077;0
124;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;1473eac8;8cae3741;10;1;2;215;1300;0;474BC522;6F;B9;207f6f9b;10:42:35;0:00:05;349706;5725e778;35c2eede;1ce65708;2670cee8;dfbb3af1;241edaee;9cf24363;f2527357;f68f7766;530a6b66;a7fb3f96;5945bb47;996c980c;584ce625;be14100a;7bc1eff4;a9091abe;ab1108a9;84f7eb33;da44a08c;0
125;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;aae6d32d;d23d6eaa;10;1;2;215;1300;0;F06395FF;9D;96;207f6fa0;10:42:40;0:00:05;349706;a005b4a5;b83794fe;b70d7abe;2e7bdf9d;2f9de684;ea56c3ee;5fd4f058;cbdc509e;e86514c7;14e24e89;265b00d4;2716b444;48c907c;7d92181;68df981f;45e1a7db;393dcc14;e3f29870;b458d070;da44a089;0
126;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;35bb90a1;1a09bb53;10;1;2;215;1300;0;46F28A44;8E;F2;207f6fa5;10:42:45;0:00:05;349706;e8e48196;3aac3b19;51339df3;3686af46;7f80921a;b08dacee;22b69d51;a5672de4;da3cb228;d6baa42d;a4bac212;f4e7b531;6fad88ec;b7675cde;13a92033;10005fc1;c9717d6a;1bcc683b;e3b9b5ad;da44a086;0
127;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;bdbe256a;a652ebdb;10;1;2;215;1300;0;A8A9BDEE;59;5D;207f6faa;10:42:50;0:00:05;349706;31c44ec3;bd20e139;eb5ac121;3e90b8e8;cf623fa8;76c595ee;e5984a46;7ef10b2b;cc124f88;98929a50;231a8350;c2b9b63a;dacd815c;66f5983b;be74a847;da2017a8;59a52ec0;53adff85;131a9aea;da44a083;0
128;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;65ba87b7;7b78ab56;10;1;2;215;1300;0;17E9B700;05;CE;207f6faf;10:42:55;0:00:05;349706;7aa41c2c;3f958758;8580e457;469b899d;1f44eb3e;3cfd7eef;a87bf73f;587be871;bde8ece9;5a6af1f4;a17a448e;908ab73b;45ed79cd;1682d397;693f305c;a43fcf8e;e9dae016;8b8e4f4c;427a8027;da44a098;0
129;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;7f0ed8b8;8b8de0f7;10;1;2;215;1300;0;A43CCB11;78;CF;207f6fb4;10:43:00;0:00:05;349706;c383e919;c20a2d78;1fa60784;4ea59947;6f2690cc;33567ef;6b5da437;3206c5b8;afbf8a4a;1c45d71f;1fd905cc;5e5bb030;b10d723d;c6100ef4;140ab870;6e5f8774;7a0e916c;c26fdf17;71db6564;da44a095;0
130;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;401461fc;cf164104;10;1;2;215;1300;0;BFE7AD99;9E;23;207f6fb9;10:43:05;0:00:05;349706;c63b64a;447fd39b;b9cd2b3a;56b06ae8;bf093c42;c96d50ef;2e3f512c;b90a2fe;a19527aa;de1dca83;9e39c70a;2c2cb13d;1c2d6aad;759e4a50;bed54084;387e3f5b;a4242c2;fa48aede;a13c4aa0;da44a092;0
131;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;be87cf56;65fc78eb;10;1;2;215;1300;0;13949988;77;12;207f6fbe;10:43:10;0:00:05;349706;554283b7;c6f379bb;53f34e68;5ebb7b9d;eebe9d0;8fa539ef;f121fe25;e51a8045;936bc50b;9ff52026;1c988848;f9fdb23e;874d631d;252c85ad;69a0c899;29ef741;9a76f418;32293e98;d09d2fdd;da44a0af;0
132;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;5941b65c;c56b1495;10;1;2;215;1300;0;30DCD1EE;8B;2F;207f6fc3;10:43:15;0:00:05;349706;9e2250e0;49681fda;ee1a719e;66c54b47;5ecd9567;55dd22ef;b404ab1a;bea45d8b;8542626b;61cd064a;9af84985;c7ceb33f;f26d5b8d;d4b9c10a;146b50ad;ccbdaf28;2aaaa56e;6a0b8e63;fffe151a;da44a0a4;0
133;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;70d6075d;d5706d07;10;1;2;215;1300;0;EB349755;D5;4B;207f6fc8;10:43:20;0:00:05;349706;e7011dcd;cbddc5fa;884094d3;6ed054e8;aeb042f5;1c150bef;76e65812;982f3ad2;7718ffcc;23a57ded;19580ac3;959fac3c;5d8d53fd;8447fc66;bf36d8c1;96dd670e;bade56c4;a2e41e2a;2f5ffa57;da44a0a1;0
134;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;+81b186d;d681b18+;10;1;2;215;1300;0;560FE5EE;EF;21;207f6fcd;10:43:25;0:00:05;349706;2fe1eb3e;4e516c25;2266b801;76db259d;fe92ee8b;e24df4ef;39c8050b;71b91818;68ee9d2d;e57d5311;97b7cc01;6370ad39;c8ad4c6d;33d537c3;6a0160d5;60fc1ef4;4b13081b;dac5edf5;5ebfdf94;da44a0be;0
135;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;8a2a585e;e585a2a8;10;1;2;215;1300;0;34F6A7AA;EE;DB;207f6fd2;10:43:30;0:00:05;349706;78c0b86b;d0c61245;bc8ddbb7;7ee53547;4e749a19;a885ddef;fcaab200;4b43f55f;5ac53a8d;a755b6b4;16178d3f;3141ae32;33ce44da;e362731f;14cce8ea;2b1cd6db;db47b971;12a67dbc;8e20c4d1;da44a0bb;0
136;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;c47b242e;e242b74c;10;1;2;215;1300;0;5ADCD1EE;33;E9;207f6fd7;10:43:35;0:00:05;349706;c1a08554;533bb864;56b3fee4;86f006e8;9e5647af;6ebdc6ef;bf8c5ef9;24ced2a5;4c9bd7ee;692cacd8;94764e7d;ff12afc3;9eee3d4a;92f0ae7c;bf9770fe;f53c8ec1;6b7b6ac7;4a87cd06;bd81aa0e;da44a0b0;0
137;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;d228cb7f;f7bc822d;10;1;2;215;1300;0;73D8B000;E3;8A;207f6fdc;10:43:40;0:00:05;349706;a7f5281;d5af5e84;f0da221a;8efa179d;ee39f33d;34f5afef;826f0bee;fe58afec;3e71754f;2b048243;12d60fbb;cce3a8bb;a0e35ba;427ee9d9;6a62f912;bf5b46a8;fbaf1c1d;81605cc1;ece28f4b;da44a0ce;0
138;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;c68221cf;fc12286c;10;1;2;215;1300;0;BE69B844;FE;48;207f6fe1;10:43:45;0:00:05;349706;535f1ff2;582404a7;8b004548;9705e747;3e1b98b0;fb2d98ef;4551b8e6;d7e28d33;304812af;ecdcf9e7;9135d0f9;9ab5a9b4;752e2e2a;f20b2535;152d8127;897bfe8e;8be3cd73;b9422c88;1c437488;da44a0cb;0
139;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;++d2ee9f;f9ee2d++;10;1;2;215;1300;0;1C0394CC;66;E8;207f6fe6;10:43:50;0:00:05;349706;9c3eecdf;da99aac7;252668fe;9f10f0e8;8dfd4446;c16581ef;83365df;b16c6a79;221eb010;aeb4df0a;f959237;6886aaa1;e04e269a;a1996092;bff8093b;539ab674;1c187ec9;f123bc53;4ba459c5;da44a0c0;0
140;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;a81d2941;1492d18a;10;1;2;215;1300;0;5E349BDD;C1;9A;207f6feb;10:43:55;0:00:05;349706;e51eba08;5d0d50e6;bf4d8c33;a71ac19d;dde0f1d4;879d6aef;cb1512d4;8af747c0;13f44d70;708c32ae;8df55375;3657abb6;4b6e1f0a;51279bee;6ac3914f;1dba6e5b;ac4c301f;29fc0c1a;7b043f02;da44a0dd;0
141;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;e0d9201b;b1029d0e;10;1;2;215;1300;0;3476A9EE;A8;52;207f6ff0;10:44:00;0:00:05;349706;2dfd8775;df82f706;5973af61;af25d147;2dc29d6a;4dd553ef;8df8bfcd;64812506;5cbead1;326428d1;c5414b3;428a4b4;b68e177a;b5d74b;158e1964;e7d92641;3c80e175;61dd93e4;aa65243f;da44a0da;0
142;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;2fc83bc9;9cb38cf2;10;1;2;215;1300;0;953ED800;84;4C;207f6ff5;10:44:05;0:00:05;349706;76dd54a6;61f79d21;f39ad297;b730a2e8;7da44af8;140d3cef;50da6cc2;3e0b024d;f7a18832;f43c0e75;8ab4d5f1;d1f9a587;21ae0fea;b04212a8;c059a178;b1f9de28;ccb492cb;99be63af;d9c6097b;da44a0d7;0
143;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;12ff14d2;2d41ff21;10;1;2;215;1300;0;BBD8B000;C1;62;207f6ffb;10:44:11;0:00:06;349706;183e476;64e9314e;7961c9e9;5a6fc3bf;dd81e792;351dee20;a11da2b8;43183f08;4d0811d9;dcdbc4b8;225a8aa1;95c1720e;3bd5d395;e95326b0;5a1977f7;7152213c;468ccdff;ff87037;7907e95e;da44a0ec;0
144;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;901dad36;63dad109;10;1;2;215;1300;0;666BC9BB;42;CE;207f7000;10:44:16;0:00:05;349706;4a62b1a3;e75ed76e;1388ed1f;627ad361;2d639320;fb55d720;63ff4fb1;1ca21c4e;3edfaf3a;9eb33a23;a0b94bdf;6392730d;a6f5cc05;98e0620d;4e4000b;3b71d922;d6c07f55;47d9c7fe;a868ce9b;da44a0e9;0
145;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;22e43e64;46e34e22;10;1;2;215;1300;0;B6BEDDCC;79;47;207f7005;10:44:21;0:00:05;349706;93427e8c;69d37d89;adae104c;6a85dc0a;7d4538b6;c18dc020;26e1fca6;f62cf995;30b54c9a;608a1047;1f190d1d;31636c08;1215c475;486e9d69;afaf881f;5919109;66f530ab;7fba57b9;d7c9b3d8;da44a0e6;0
146;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;8e88d740;047d88e8;10;1;2;215;1300;0;1F98B366;6E;38;207f700a;10:44:26;0:00:05;349706;dc214bf9;ec4723a9;47d53382;728fadbf;cd27e444;87c5a920;e9c3a99e;cfb6d6db;228be9fb;226277ea;9d79ce5b;ff346d33;7d35bce5;f7fcd8c6;5a7a1034;cfb048ef;f729e201;b79b2700;72a9915;da44a0e3;0
147;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;6c77877b;b77877c6;10;1;2;215;1300;0;05707F99;03;04;207f700f;10:44:31;0:00:05;349706;2501192a;6ebcc9c9;e1fb5730;7a9abd61;1d0a91db;4dfd9220;aca65697;a941b422;1462875b;e43a6d0e;1bd88f99;cd056e22;e855b552;a78a1423;5459848;99d000d6;875d9357;ee74b6ca;368a7e52;da44a0f8;0
148;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;fa2d711c;c117d2af;10;1;2;215;1300;0;4E549866;30;27;207f7014;10:44:36;0:00:05;349706;6de1e617;f1316fe8;7c217a65;82a58e0a;6cec3d69;14357b21;6f88038c;82cb9169;63824bc;a61240b1;9a3850d7;9ad66f29;5375adc2;57174f7f;b010205c;63efb8bc;179144ad;26550695;65eb638f;da44a0f5;0
149;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;a5bea95f;f59aeb5a;10;1;2;215;1300;0;BCD28DBB;36;9F;207f7019;10:44:41;0:00:05;349706;b6c0b340;73a51608;16489d9b;8aaf9fbc;bcceeaff;da6d6421;326ab085;5c556eaf;f80ec21d;67eaa6d5;18971215;68a76834;be96a632;6a58adc;5adba871;2e0f70a2;a7c5f603;5e36965c;954c48cc;da44a0f2;0
150;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;4ae8e401;104e8ea4;10;1;2;215;1300;0;05A5A088;B0;06;207f701e;10:44:46;0:00:05;349706;ffa080ad;f61abc2b;b06ec0c9;92ba6f61;cb1968d;a0a54d21;f54c5d7a;35e04bf6;e9e55f7d;29c29c78;96f7d353;36786ec7;29b69ea2;b633c638;5a63085;f82f2889;37f9a759;96106627;c4ad2e09;da44a70f;0
151;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;e22df511;115fd22e;10;1;2;215;1300;0;68FCCE77;01;52;207f7023;10:44:51;0:00:05;349706;487f4d9e;788f624b;4a95e47f;9ac4780a;5c934203;66dd3621;b82f0a72;f6a293c;dbbbfcde;eb9af39c;15569491;4496db7;94d69712;65c00195;b071b899;c24ee06f;c82e58b0;cef1f5ee;f40e1346;da44a704;0
152;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;b8d47a7e;e7a74d8b;10;1;2;215;1300;0;F3CFE044;96;EF;207f7028;10:44:56;0:00:05;349706;915f1acb;fb03086a;e4bb07ac;a2cf49bc;ac75ef91;2d151f21;7b11b76b;e8f40683;cd919a3f;ad75e907;93b655ce;d21a6cb4;fff68f82;154e3cf2;5b3c40ae;8c6e9856;58620a06;6d245a8;236ff882;da44a701;0
153;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;e7c9c7a8;8a7c9c7e;10;1;2;215;1300;0;5.65E+92;F3;41;207f702d;10:45:01;0:00:05;349706;da3ee834;7d78ae8a;7ee12ae2;aada5961;fc589b27;f34d0821;3df36460;c27ee3c9;bf68379f;6f4dccab;1216170c;9fec63a1;6b1687f2;c4dc784e;607c8c2;568d503c;e896bb5c;3eb3d573;52cfddbf;da44a71e;0
154;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;801883a4;4a388108;10;1;2;215;1300;0;8C618488;F7;61;207f7032;10:45:06;0:00:05;349706;231eb561;ffed54b5;19084e10;b2e42a0a;4c3a40ba;b985f121;d51159;9c09c110;b13ed500;312522ce;9075d84a;6dbd62ba;d6368063;7469b3ab;b0d250d6;20ad0822;78ca6cb2;768ca53a;8230c2fc;da44a71b;0
155;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;7b930621;126039b7;10;1;2;215;1300;0;9B8BC544;63;DD;207f7037;10:45:11;0:00:05;349706;6bfd8252;8261fad5;b32e7145;baef3bbc;9c1cec48;7fbdda21;c3b8be4e;75939e56;a3147260;f2fd1872;ed59988;3b8e61bb;415678d3;23f7ef07;5b9dd8ea;eaccc009;8fe1e08;ad6d3485;b191a839;da44a710;0
156;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;8dbf2d54;45d2fbd8;10;1;2;215;1300;0;D01080EE;23;FD;207f703c;10:45:16;0:00:05;349706;b4dd4fbf;4d6a0f4;4d5594fb;c2fa0b61;ebfe99de;45f4c321;869a6b46;4f1d7b9d;94eb0fc1;b4d57f95;8d345ac6;95f6080;ac767143;d3852a64;66860ff;b4ec77ef;9933cf5e;e54f844c;e0f28d76;da44a72d;0
157;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;1f30e98c;c89e03f1;10;1;2;215;1300;0;93749877;6E;E0;207f7041;10:45:21;0:00:05;349706;fdbc1ce8;874b4714;e77bb829;cb04140a;3be1456c;c2cac21;497c183f;28a858e3;86c1ad22;76ad5539;b941c04;d73067bd;179769b3;831365c1;b132e913;7f0b2fd6;296780b4;1d281416;105372b3;da44a72a;0
158;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;ba294f74;47f492ab;10;1;2;215;1300;0;96618100;80;74;207f7046;10:45:26;0:00:05;349706;469ce9d5;9bfed37;81a2db5f;d30fe5bc;8bc3f2e2;d2649521;c5ec534;232362a;78974a82;38854b5c;89f4dd42;a50166be;82b76223;32a0a11d;5bfd7127;492be7bc;b99b320a;5509fbd1;3fb457f0;da44a727;0
159;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;b95fa588;885af59b;10;1;2;215;1300;0;768DD6BB;8E;05;207f704b;10:45:31;0:00:05;349706;8f7bb706;8c349357;1bc8fe8c;db19f561;dba59e70;989c7e21;cf41722d;dbbc1371;6a6ee7e3;fa5caec0;8539e80;72d265bf;edd75a93;e22edc7a;6c8f93c;134a9fa2;49cfe360;8dea4b98;6f143d2d;da44a73c;0
160;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;b475fa9c;c9af574b;10;1;2;215;1300;0;EF9ABF55;C3;87;207f7050;10:45:36;0:00:05;349706;d85b8473;ea93976;b5ee21c2;e324c60a;2b884a07;5ed46721;92231f25;b546f0b7;5c448544;bc34846b;86b35fbe;40a364bc;58f75303;91bc17d6;b1938150;dd6a5789;da0394b6;c5cbdb63;9e75226a;da44a739;0
161;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;36853a8d;d8a35863;10;1;2;215;1300;0;5E89B955;FC;94;207f7055;10:45:41;0:00:05;349706;213a515c;911ddf96;50154570;eb2fd7bc;7b6af795;250c5021;5505cc1a;8ed1cdfe;4e1a22a4;7e0cfb8f;51220fc;e745bb9;c4174b73;41495333;5c5e0964;a7890f6f;6a37460c;fda4ab2d;cdd607a7;da44a736;0
162;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;aa2426e2;2e6242aa;10;1;2;215;1300;0;B1128A55;A5;74;207f705a;10:45:46;0:00:05;349706;6a1a1e89;139285b1;ea3b68a5;f339a761;cb4ca32b;eb443921;17e77913;685bab44;3ff1c005;3fe4d133;8372e23a;dc455a42;2f3743e0;f0d78e90;7299179;71a9c756;fa6cf762;35863af4;fd37ece4;da44a733;0
163;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;68190799;99709186;10;1;2;215;1300;0;FB78B155;02;AD;207f705f;10:45:51;0:00:05;349706;b2f9ebfa;96072bd1;84628bdb;fb44b00b;1b2e48b9;b17c2221;dac92608;41e5888b;31c75d66;1bc3756;1d2a377;aa165933;9a573c50;a065c9ec;b1f4198d;3bc97f3c;8aa0a8b8;6c678abf;2c98d220;da44a748;0
164;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;5fc732df;fd237cf5;10;1;2;215;1300;0;55728800;04;D1;207f7064;10:45:56;0:00:05;349706;fbd9b927;187cd1f0;1e88af09;34f81bc;6b11f44f;77b40b21;9dacd301;1b7065d1;239dfac6;c3942afa;803164b5;77e8583b;57734c0;4ff20549;5cbfa1a1;5e83722;1ad45a0e;a4401a06;5bf9b75d;da44a746;0
165;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;3ae3ba6f;f6ab3ea3;10;1;2;215;1300;0;1A47AC44;04;17;207f7069;10:46:01;0:00:05;349706;44b98610;9af07810;b8aed2bf;b599161;baf3a1dd;3decf43e;608e7ff9;f4fa4318;15749827;856c001d;fe9125f3;45b95f24;70972d30;ff8040a5;78a29b6;d008ef09;ab080b64;dc21e9c1;8b599c9a;da44a743;0
166;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;68190799;99709186;10;1;2;215;1300;0;29B8B6FF;57;64;207f706e;10:46:06;0:00:05;349706;8d98537d;1d651e33;52d5f5ec;1364620b;ad54d53;424dd3e;23702cee;ce84205e;74a3587;47476781;7cf0e731;138a5e31;dbb825a0;af0e7c02;b255b1ca;9a27a6ef;3b3cbcba;1402798b;baba81d7;da44a758;0
167;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;801883a4;4a388108;10;1;2;215;1300;0;81639177;C0;B4;207f7073;10:46:11;0:00:05;349706;d67820ae;9fdac453;ecfb1922;1b6e73bc;5ab8fae6;ca5cc63e;e652d9e7;a80efda5;f920d2e8;91f5d24;fb50a86f;e15b5d06;46d81e10;5e9cb75f;5d2039de;64475ed6;cb706e10;4ce3c952;ea1b6714;da44a755;0
